[Candidate Service: (ServiceNo, Price, Probability, ExecTime)]
0	20	0.39	16
1	29	0.35	6
2	34	0.52	2
3	36	0.92	9
4	45	0.86	11
5	49	0.41	4
6	3	0.28	8
7	36	0.01	3
8	21	0.81	1
9	44	0.55	7
10	36	0.38	1
11	8	0.78	9
12	14	0.04	6
13	47	0.95	12
14	3	0.00	18
15	16	0.63	1
16	45	0.11	12
17	15	0.53	15
18	47	0.43	4
19	38	0.62	7
20	51	0.77	18
21	13	0.52	17
22	8	0.18	3
23	54	0.19	2
24	52	0.68	12
25	2	0.12	5
26	47	0.32	12
27	30	0.00	1
28	13	0.04	4
29	39	0.10	13
30	51	0.03	7
31	33	0.11	2
32	14	0.74	2
33	29	0.99	14
34	48	0.72	0
35	31	0.16	2
36	35	0.75	4
37	31	0.45	15
38	8	0.18	2
39	49	0.40	0
40	5	0.24	6
41	4	0.91	6
42	55	0.54	0
43	59	0.51	9
44	19	0.40	18
45	3	0.50	12
46	22	0.06	7
47	54	0.74	5
48	17	1.00	5
49	53	1.00	10
50	30	0.03	0
51	36	0.81	18
52	22	0.30	7
53	47	0.13	16
54	56	0.30	3
55	4	0.44	0
56	31	0.59	2
57	23	0.62	17
58	2	0.21	1
59	48	0.60	14
60	16	0.77	6
61	12	0.72	16
62	4	0.87	15
63	13	0.83	11
64	59	0.47	13
65	30	0.21	17
66	56	0.22	10
67	33	0.16	11
68	8	0.82	3
69	22	0.98	15
70	5	0.22	13
71	33	0.55	12
72	37	0.82	14
73	47	0.77	3
74	22	0.00	17
75	1	0.79	14
76	36	0.81	13
77	3	0.64	9
78	51	0.10	5
79	4	0.36	3
80	33	0.65	18
81	23	0.30	2
82	46	0.83	19
83	50	0.68	18
84	12	0.57	9
85	57	0.34	19
86	38	0.52	10
87	19	0.73	2
88	57	0.65	0
89	36	0.90	2
90	46	0.25	7
91	47	0.96	19
92	58	0.61	13
93	2	0.47	16
94	2	0.19	13
95	16	0.99	7
96	29	0.25	1
97	12	0.81	3
98	20	0.80	17
99	18	0.50	14
