[Candidate Service: (ServiceNo, Price, Probability, ExecTime)]
0	7	0.66	7
1	9	0.61	5
2	8	0.70	6
3	9	0.63	9
4	5	0.66	7
5	6	0.74	6
6	8	0.61	6
7	8	0.74	9
8	7	0.97	9
9	5	0.73	9
10	9	0.82	8
11	6	0.64	7
12	6	0.90	6
13	5	0.85	6
14	5	0.63	7
15	8	0.67	8
16	5	0.65	5
17	9	0.65	5
18	5	0.66	6
19	8	0.61	7
20	5	0.69	8
21	7	0.65	8
22	6	0.93	6
23	5	0.97	6
24	5	0.96	8
25	9	0.67	8
26	6	0.73	5
27	6	0.97	5
28	7	0.70	7
29	5	0.75	5
30	5	0.79	9
31	5	0.90	7
32	6	0.70	9
33	5	0.93	5
34	5	0.67	7
35	9	0.78	9
36	6	0.70	7
37	7	0.61	5
38	7	0.72	7
39	7	0.90	6
40	5	0.89	8
41	7	0.81	7
42	8	0.72	8
43	7	0.64	5
44	7	0.77	6
45	6	0.81	7
46	8	0.65	5
47	5	0.83	6
48	9	0.62	8
49	8	0.66	6
50	9	0.95	9
51	9	0.74	7
52	8	0.60	9
53	8	0.78	6
54	6	0.60	9
55	9	0.72	8
56	8	0.97	7
57	5	0.66	6
58	7	0.72	7
59	6	0.83	5
60	9	0.99	7
61	9	0.87	7
62	8	0.76	5
63	6	0.72	7
64	9	0.75	6
65	7	0.89	7
66	6	0.98	6
67	9	0.66	9
68	9	0.83	5
69	7	0.68	7
70	8	0.66	9
71	7	0.68	9
72	5	0.83	8
73	9	0.67	5
74	7	0.86	7
75	8	0.79	5
76	5	0.92	6
77	9	0.69	9
78	6	0.87	9
79	9	0.76	5
80	6	0.66	9
81	7	0.64	5
82	7	0.60	8
83	5	0.61	6
84	9	0.70	8
85	6	0.87	5
86	5	0.68	6
87	8	0.68	6
88	8	0.96	9
89	7	0.62	8
90	7	0.68	6
91	7	0.78	7
92	7	0.87	7
93	5	0.80	7
94	5	0.79	5
95	5	0.67	6
96	6	0.68	6
97	8	0.68	6
98	5	0.78	8
99	5	0.66	7
