[Candidate Service: (ServiceNo, Price, Probability, ExecTime)]
0	28	0.79	1
1	19	0.57	1
2	4	0.46	0
3	9	0.55	6
4	26	0.46	8
5	39	0.63	3
6	33	0.67	0
7	0	0.67	5
8	29	0.43	2
9	30	0.63	6
10	46	0.44	6
11	45	0.48	1
12	41	0.78	7
13	16	0.48	7
14	39	0.52	8
15	27	0.61	4
16	24	0.62	4
17	15	0.58	7
18	19	0.76	0
19	23	0.70	8
20	10	0.42	7
21	49	0.43	1
22	17	0.46	5
23	17	0.48	0
24	12	0.45	9
25	21	0.65	4
26	17	0.66	1
27	10	0.71	1
28	4	0.55	0
29	46	0.55	7
30	12	0.42	9
31	11	0.60	1
32	11	0.52	5
33	24	0.41	3
34	23	0.43	7
35	24	0.62	6
36	5	0.68	2
37	43	0.50	8
38	7	0.74	7
39	26	0.45	7
40	43	0.63	2
41	42	0.44	1
42	21	0.76	3
43	33	0.42	7
44	43	0.65	9
45	16	0.51	9
46	40	0.57	5
47	9	0.68	5
48	37	0.67	4
49	15	0.43	0
50	37	0.48	7
51	47	0.76	3
52	49	0.69	6
53	25	0.61	4
54	44	0.78	1
55	26	0.69	1
56	43	0.72	8
57	6	0.75	0
58	21	0.56	3
59	3	0.74	0
60	14	0.50	0
61	38	0.55	2
62	19	0.43	1
63	33	0.41	6
64	35	0.47	1
65	44	0.41	2
66	44	0.59	3
67	34	0.64	6
68	18	0.52	7
69	1	0.63	1
70	37	0.77	9
71	22	0.41	5
72	46	0.42	7
73	9	0.47	6
74	11	0.40	1
75	20	0.61	6
76	43	0.46	4
77	37	0.55	3
78	27	0.61	5
79	35	0.44	0
80	45	0.52	7
81	1	0.52	4
82	34	0.77	1
83	49	0.71	6
84	41	0.63	3
85	13	0.67	0
86	47	0.62	7
87	22	0.53	9
88	39	0.68	9
89	36	0.54	0
90	19	0.55	4
91	43	0.50	2
92	16	0.71	8
93	8	0.59	6
94	11	0.78	4
95	3	0.61	0
96	5	0.52	9
97	41	0.61	0
98	20	0.47	0
99	5	0.47	8
