[Candidate Service: (ServiceNo, Price, Probability, ExecTime)]
0	25	0.76	0
1	20	1.00	8
2	55	0.73	5
3	20	0.26	8
4	28	0.49	2
5	90	0.89	2
6	1	0.07	6
7	67	0.46	4
8	84	0.46	1
9	12	0.18	1
10	6	0.70	3
11	5	0.96	0
12	46	0.46	3
13	2	0.64	9
14	69	0.71	5
15	49	0.01	5
16	57	0.41	0
17	57	0.38	9
18	24	0.82	6
19	99	0.44	1
20	41	0.24	0
21	70	0.08	4
22	72	0.51	4
23	66	0.95	0
24	65	0.38	2
25	17	0.95	6
26	42	0.59	0
27	77	0.81	1
28	8	0.76	8
29	71	0.35	1
30	22	0.75	3
31	87	0.54	9
32	28	0.52	8
33	79	0.86	6
34	10	0.64	6
35	21	0.91	4
36	64	0.64	6
37	39	1.00	1
38	90	0.76	4
39	20	0.25	2
40	53	0.21	2
41	45	0.02	1
42	64	0.12	5
43	5	0.98	3
44	76	0.18	6
45	6	0.56	2
46	19	0.31	7
47	62	0.68	0
48	98	0.72	0
49	52	0.81	8
50	59	0.72	9
51	1	0.38	2
52	29	0.48	6
53	39	0.75	6
54	34	0.80	1
55	56	0.61	2
56	67	0.48	4
57	5	0.47	0
58	23	0.73	0
59	84	0.61	9
60	54	0.35	1
61	34	0.62	3
62	42	0.86	8
63	47	0.65	3
64	45	0.21	5
65	4	0.65	5
66	55	0.75	8
67	0	0.28	3
68	76	0.35	5
69	52	0.20	8
70	36	0.73	4
71	18	0.11	4
72	89	0.54	7
73	84	0.88	5
74	81	0.35	7
75	11	0.39	2
76	23	0.61	0
77	32	0.28	7
78	97	0.98	0
79	22	0.44	1
80	74	0.60	6
81	87	0.12	4
82	83	0.52	2
83	53	0.65	5
84	2	0.77	3
85	13	0.55	0
86	59	0.08	7
87	70	0.86	8
88	69	0.02	1
89	64	0.25	3
90	40	0.95	2
91	23	0.03	4
92	90	0.72	2
93	72	0.87	2
94	85	0.26	3
95	81	0.64	7
96	60	0.93	2
97	83	0.74	6
98	27	0.14	3
99	80	0.32	3
