[Candidate Service: (ServiceNo, Price, Probability, ExecTime)]
0	22	0.37	4
1	20	0.56	5
2	10	0.12	3
3	2	0.73	8
4	27	0.93	3
5	4	0.03	3
6	8	0.35	1
7	16	0.57	6
8	5	0.86	4
9	19	0.56	8
10	2	0.84	3
11	12	0.21	5
12	4	0.40	5
13	9	0.07	4
14	21	0.75	7
15	7	0.84	9
16	20	0.41	6
17	18	0.22	6
18	1	0.60	1
19	17	0.45	7
20	4	0.19	0
21	24	0.30	6
22	12	0.28	4
23	3	0.95	1
24	14	0.16	5
25	17	0.78	6
26	27	0.45	5
27	14	0.43	4
28	13	0.66	7
29	27	0.56	1
30	13	0.89	8
31	15	0.67	8
32	29	0.50	1
33	12	0.01	9
34	13	0.49	4
35	11	0.05	2
36	14	0.11	3
37	3	0.19	2
38	3	0.77	4
39	2	0.51	1
40	9	0.34	4
41	24	0.99	8
42	20	0.35	5
43	27	0.35	7
44	4	0.28	1
45	23	0.03	0
46	29	0.58	8
47	20	0.78	3
48	0	0.82	9
49	2	0.51	6
50	4	0.30	6
51	5	0.61	4
52	25	0.51	1
53	3	0.38	2
54	8	0.54	5
55	21	0.66	1
56	13	0.17	1
57	19	0.60	9
58	18	0.49	0
59	3	0.52	9
60	6	0.31	6
61	8	0.24	5
62	4	0.07	4
63	11	0.82	7
64	10	0.10	8
65	5	0.70	4
66	22	0.01	9
67	14	0.25	7
68	20	0.74	3
69	21	0.45	7
70	28	0.27	6
71	28	0.93	5
72	25	0.25	6
73	25	0.91	6
74	29	0.04	4
75	20	0.72	6
76	9	0.10	7
77	26	0.31	1
78	4	0.89	2
79	1	0.82	3
80	4	0.23	0
81	24	0.94	8
82	4	0.70	7
83	24	0.61	5
84	28	0.39	3
85	3	0.89	1
86	22	0.29	0
87	21	0.52	9
88	6	0.72	4
89	12	0.15	9
90	7	0.17	9
91	29	0.63	3
92	29	0.17	6
93	23	0.91	8
94	28	0.69	7
95	2	0.89	2
96	6	0.11	7
97	14	0.21	2
98	13	0.39	7
99	3	0.59	3
